[2023-02-10 02:38:57,981] shixuetiandeMacBook-Air.local/INFO/locust.main: Starting web interface at http://0.0.0.0:8089 (accepting connections from all network interfaces)
[2023-02-10 02:39:24,566] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:24,751] shixuetiandeMacBook-Air.local/INFO/root: Instructor PRd.9qFISMkUd2jIv.3gWD@5.1ImT.gRmR login
[2023-02-10 02:39:24,759] shixuetiandeMacBook-Air.local/INFO/root: select activity with code USI1.
[2023-02-10 02:39:27,308] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:27,526] shixuetiandeMacBook-Air.local/INFO/root: [TASK] start one course
[2023-02-10 02:39:27,630] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:27,638] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:27,642] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:27,647] shixuetiandeMacBook-Air.local/INFO/root: Learner Nj.uwQ.1eDEqTqn@3PU.i.EliF login
[2023-02-10 02:39:27,811] shixuetiandeMacBook-Air.local/INFO/root: Learner 0hMw.0Jhdww6Z.8GKvmI@tJLsc.gQgh login
[2023-02-10 02:39:28,264] shixuetiandeMacBook-Air.local/INFO/root: student Nj.uwQ.1eDEqTqn@3PU.i.EliF visits course USI3.
[2023-02-10 02:39:28,312] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:28,324] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:28,467] shixuetiandeMacBook-Air.local/INFO/root: student iM.rNEcc40K.6mGEElng@51Hx.v.xWeZ starts course USI1.
[2023-02-10 02:39:28,649] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:28,715] shixuetiandeMacBook-Air.local/INFO/root: Learner RkOvG.jURGb4.VIs5@E3.BL.Nzqk login
[2023-02-10 02:39:29,385] shixuetiandeMacBook-Air.local/INFO/root: student Jud.7JbfLXTPGMi9@m.6.Mh8nG visits course USI0.
[2023-02-10 02:39:29,388] shixuetiandeMacBook-Air.local/INFO/locust.runners: All users spawned: {"InstructorUser": 2, "StudentUser": 18} (20 total users)
[2023-02-10 02:39:29,398] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:29,422] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:30,328] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:30,336] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:30,370] shixuetiandeMacBook-Air.local/INFO/root: Learner AyQfQMkp8.rNUIkw1@IP.h.Akg3 login
[2023-02-10 02:39:30,373] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:30,986] shixuetiandeMacBook-Air.local/INFO/root: [TASK] upload one attachment to course content
[2023-02-10 02:39:30,987] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:30,994] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi visits course USI1.
[2023-02-10 02:39:30,994] shixuetiandeMacBook-Air.local/INFO/root: student Jud.7JbfLXTPGMi9@m.6.Mh8nG visits course USI3.
[2023-02-10 02:39:30,997] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi visits my courses.
[2023-02-10 02:39:31,009] shixuetiandeMacBook-Air.local/INFO/root: select instructor 4fvfdP.IiEL2@26.K.wfZ2rl.
[2023-02-10 02:39:31,009] shixuetiandeMacBook-Air.local/INFO/root: Instructor 4fvfdP.IiEL2@26.K.wfZ2rl login
[2023-02-10 02:39:31,010] shixuetiandeMacBook-Air.local/INFO/root: Learner RkOvG.jURGb4.VIs5@E3.BL.Nzqk login
[2023-02-10 02:39:31,019] shixuetiandeMacBook-Air.local/INFO/root: select activity with code USI4.
[2023-02-10 02:39:31,635] shixuetiandeMacBook-Air.local/INFO/root: upload attachment Advertising Plan Outline.pdf to content of course USI4.
[2023-02-10 02:39:32,792] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits course USI0.
[2023-02-10 02:39:33,535] shixuetiandeMacBook-Air.local/INFO/root: student RkOvG.jURGb4.VIs5@E3.BL.Nzqk visits course USI2.
[2023-02-10 02:39:33,709] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits course USI4.
[2023-02-10 02:39:34,263] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits course USI3.
[2023-02-10 02:39:34,327] shixuetiandeMacBook-Air.local/INFO/root: student Nj.uwQ.1eDEqTqn@3PU.i.EliF visits course USI0.
[2023-02-10 02:39:34,347] shixuetiandeMacBook-Air.local/INFO/root: student RkOvG.jURGb4.VIs5@E3.BL.Nzqk visits course USI3.
[2023-02-10 02:39:34,511] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:34,549] shixuetiandeMacBook-Air.local/INFO/root: Learner Jud.7JbfLXTPGMi9@m.6.Mh8nG login
[2023-02-10 02:39:34,561] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:34,569] shixuetiandeMacBook-Air.local/INFO/root: student AyQfQMkp8.rNUIkw1@IP.h.Akg3 visits course USI3.
[2023-02-10 02:39:34,692] shixuetiandeMacBook-Air.local/INFO/root: student 0hMw.0Jhdww6Z.8GKvmI@tJLsc.gQgh visits course USI2.
[2023-02-10 02:39:34,843] shixuetiandeMacBook-Air.local/INFO/root: student Jud.7JbfLXTPGMi9@m.6.Mh8nG visits my courses.
[2023-02-10 02:39:35,133] shixuetiandeMacBook-Air.local/WARNING/urllib3.connectionpool: Connection pool is full, discarding connection: userapi.alms.crab.alemira.com. Connection pool size: 10
[2023-02-10 02:39:35,222] shixuetiandeMacBook-Air.local/INFO/root: student RkOvG.jURGb4.VIs5@E3.BL.Nzqk visits course USI4.
[2023-02-10 02:39:35,265] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi visits course USI4.
[2023-02-10 02:39:35,631] shixuetiandeMacBook-Air.local/INFO/root: Learner zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP login
[2023-02-10 02:39:35,642] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:35,669] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:35,918] shixuetiandeMacBook-Air.local/INFO/root: student zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP visits my courses.
[2023-02-10 02:39:35,975] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce starts course USI2.
[2023-02-10 02:39:36,529] shixuetiandeMacBook-Air.local/INFO/root: [TASK] edit one course content
[2023-02-10 02:39:36,536] shixuetiandeMacBook-Air.local/INFO/root: select instructor 4fvfdP.IiEL2@26.K.wfZ2rl.
[2023-02-10 02:39:36,536] shixuetiandeMacBook-Air.local/INFO/root: Instructor 4fvfdP.IiEL2@26.K.wfZ2rl login
[2023-02-10 02:39:36,540] shixuetiandeMacBook-Air.local/INFO/root: select activity with code USI4.
[2023-02-10 02:39:36,902] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:37,843] shixuetiandeMacBook-Air.local/INFO/root: Learner L6.s7RHgF1O9jOR@N.3YMm.h1IVP login
[2023-02-10 02:39:38,283] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:38,289] shixuetiandeMacBook-Air.local/INFO/root: Learner RkOvG.jURGb4.VIs5@E3.BL.Nzqk login
[2023-02-10 02:39:38,575] shixuetiandeMacBook-Air.local/INFO/root: student RkOvG.jURGb4.VIs5@E3.BL.Nzqk visits my courses.
[2023-02-10 02:39:39,032] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:39,043] shixuetiandeMacBook-Air.local/INFO/root: Learner RkOvG.jURGb4.VIs5@E3.BL.Nzqk login
[2023-02-10 02:39:39,441] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi visits course USI3.
[2023-02-10 02:39:40,282] shixuetiandeMacBook-Air.local/INFO/root: [TASK] start one course
[2023-02-10 02:39:40,290] shixuetiandeMacBook-Air.local/INFO/root: Learner RkOvG.jURGb4.VIs5@E3.BL.Nzqk login
[2023-02-10 02:39:41,009] shixuetiandeMacBook-Air.local/INFO/root: [TASK] start one course
[2023-02-10 02:39:41,020] shixuetiandeMacBook-Air.local/INFO/root: Learner 0hMw.0Jhdww6Z.8GKvmI@tJLsc.gQgh login
[2023-02-10 02:39:41,286] shixuetiandeMacBook-Air.local/INFO/root: student L6.s7RHgF1O9jOR@N.3YMm.h1IVP visits course USI4.
[2023-02-10 02:39:41,465] shixuetiandeMacBook-Air.local/INFO/root: [TASK] edit one course content
[2023-02-10 02:39:41,480] shixuetiandeMacBook-Air.local/INFO/root: select instructor 4fvfdP.IiEL2@26.K.wfZ2rl.
[2023-02-10 02:39:41,480] shixuetiandeMacBook-Air.local/INFO/root: Instructor 4fvfdP.IiEL2@26.K.wfZ2rl login
[2023-02-10 02:39:41,484] shixuetiandeMacBook-Air.local/INFO/root: select activity with code USI0.
[2023-02-10 02:39:41,485] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:41,505] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:41,682] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:41,688] shixuetiandeMacBook-Air.local/INFO/root: Learner zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP login
[2023-02-10 02:39:41,784] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi visits my courses.
[2023-02-10 02:39:42,008] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:42,014] shixuetiandeMacBook-Air.local/INFO/root: Learner AyQfQMkp8.rNUIkw1@IP.h.Akg3 login
[2023-02-10 02:39:42,346] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:42,346] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:42,447] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:42,448] shixuetiandeMacBook-Air.local/INFO/root: [TASK] download one attachment from one course
[2023-02-10 02:39:42,450] shixuetiandeMacBook-Air.local/INFO/root: student RkOvG.jURGb4.VIs5@E3.BL.Nzqk visits course USI2.
[2023-02-10 02:39:42,452] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:42,459] shixuetiandeMacBook-Air.local/INFO/root: Learner iM.rNEcc40K.6mGEElng@51Hx.v.xWeZ login
[2023-02-10 02:39:42,460] shixuetiandeMacBook-Air.local/INFO/root: Learner Nj.uwQ.1eDEqTqn@3PU.i.EliF login
[2023-02-10 02:39:42,474] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:42,589] shixuetiandeMacBook-Air.local/INFO/root: [TASK] start one course
[2023-02-10 02:39:42,604] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:42,734] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits my courses.
[2023-02-10 02:39:42,755] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits my courses.
[2023-02-10 02:39:42,802] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:42,808] shixuetiandeMacBook-Air.local/INFO/root: Learner zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP login
[2023-02-10 02:39:43,201] shixuetiandeMacBook-Air.local/INFO/root: [TASK] start one course
[2023-02-10 02:39:43,202] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:43,325] shixuetiandeMacBook-Air.local/INFO/root: Learner Jud.7JbfLXTPGMi9@m.6.Mh8nG login
[2023-02-10 02:39:43,326] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:43,493] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:43,499] shixuetiandeMacBook-Air.local/INFO/root: Learner Nj.uwQ.1eDEqTqn@3PU.i.EliF login
[2023-02-10 02:39:43,671] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits my courses.
[2023-02-10 02:39:43,836] shixuetiandeMacBook-Air.local/INFO/root: student Nj.uwQ.1eDEqTqn@3PU.i.EliF visits my courses.
[2023-02-10 02:39:45,799] shixuetiandeMacBook-Air.local/INFO/root: student RkOvG.jURGb4.VIs5@E3.BL.Nzqk starts course USI4.
[2023-02-10 02:39:46,439] shixuetiandeMacBook-Air.local/INFO/root: student zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP visits course USI1.
[2023-02-10 02:39:46,451] shixuetiandeMacBook-Air.local/INFO/root: student zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP visits course USI2.
[2023-02-10 02:39:46,716] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:46,722] shixuetiandeMacBook-Air.local/INFO/root: Learner iM.rNEcc40K.6mGEElng@51Hx.v.xWeZ login
[2023-02-10 02:39:46,888] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:46,893] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:46,909] shixuetiandeMacBook-Air.local/INFO/root: student 0hMw.0Jhdww6Z.8GKvmI@tJLsc.gQgh starts course USI4.
[2023-02-10 02:39:46,950] shixuetiandeMacBook-Air.local/WARNING/urllib3.connectionpool: Connection pool is full, discarding connection: userapi.alms.crab.alemira.com. Connection pool size: 10
[2023-02-10 02:39:46,955] shixuetiandeMacBook-Air.local/INFO/root: student iM.rNEcc40K.6mGEElng@51Hx.v.xWeZ visits course USI0.
[2023-02-10 02:39:46,973] shixuetiandeMacBook-Air.local/WARNING/urllib3.connectionpool: Connection pool is full, discarding connection: userapi.alms.crab.alemira.com. Connection pool size: 10
[2023-02-10 02:39:47,178] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits my courses.
[2023-02-10 02:39:47,340] shixuetiandeMacBook-Air.local/INFO/root: [TASK] edit one course description
[2023-02-10 02:39:47,354] shixuetiandeMacBook-Air.local/INFO/root: select instructor 4fvfdP.IiEL2@26.K.wfZ2rl.
[2023-02-10 02:39:47,354] shixuetiandeMacBook-Air.local/INFO/root: Instructor 4fvfdP.IiEL2@26.K.wfZ2rl login
[2023-02-10 02:39:47,365] shixuetiandeMacBook-Air.local/INFO/root: select objective with code USI4.
[2023-02-10 02:39:47,976] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:47,982] shixuetiandeMacBook-Air.local/INFO/root: Learner zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP login
[2023-02-10 02:39:48,026] shixuetiandeMacBook-Air.local/INFO/root: student AyQfQMkp8.rNUIkw1@IP.h.Akg3 visits course USI3.
[2023-02-10 02:39:48,215] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi starts course USI0.
[2023-02-10 02:39:48,263] shixuetiandeMacBook-Air.local/INFO/root: student zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP visits my courses.
[2023-02-10 02:39:48,467] shixuetiandeMacBook-Air.local/INFO/root: student Jud.7JbfLXTPGMi9@m.6.Mh8nG starts course USI1.
[2023-02-10 02:39:50,727] shixuetiandeMacBook-Air.local/INFO/root: [TASK] upload one image to course description
[2023-02-10 02:39:50,734] shixuetiandeMacBook-Air.local/INFO/root: select instructor 4fvfdP.IiEL2@26.K.wfZ2rl.
[2023-02-10 02:39:50,735] shixuetiandeMacBook-Air.local/INFO/root: Instructor 4fvfdP.IiEL2@26.K.wfZ2rl login
[2023-02-10 02:39:50,738] shixuetiandeMacBook-Air.local/INFO/root: select objective with code USI3.
[2023-02-10 02:39:50,864] shixuetiandeMacBook-Air.local/INFO/root: student iM.rNEcc40K.6mGEElng@51Hx.v.xWeZ visits course USI3.
[2023-02-10 02:39:51,050] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:51,063] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:52,011] shixuetiandeMacBook-Air.local/INFO/root: upload image pexels-pixabay-161573.jpg to description of course USI3.
[2023-02-10 02:39:52,749] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:52,757] shixuetiandeMacBook-Air.local/INFO/root: Learner Jud.7JbfLXTPGMi9@m.6.Mh8nG login
[2023-02-10 02:39:53,042] shixuetiandeMacBook-Air.local/INFO/root: student Jud.7JbfLXTPGMi9@m.6.Mh8nG visits my courses.
[2023-02-10 02:39:53,087] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:53,093] shixuetiandeMacBook-Air.local/INFO/root: Learner AyQfQMkp8.rNUIkw1@IP.h.Akg3 login
[2023-02-10 02:39:53,285] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:53,292] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:53,307] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:53,313] shixuetiandeMacBook-Air.local/INFO/root: Learner L6.s7RHgF1O9jOR@N.3YMm.h1IVP login
[2023-02-10 02:39:53,376] shixuetiandeMacBook-Air.local/INFO/root: student AyQfQMkp8.rNUIkw1@IP.h.Akg3 visits my courses.
[2023-02-10 02:39:53,404] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:53,409] shixuetiandeMacBook-Air.local/INFO/root: Learner 0hMw.0Jhdww6Z.8GKvmI@tJLsc.gQgh login
[2023-02-10 02:39:53,574] shixuetiandeMacBook-Air.local/INFO/root: student 7.SzSghRpNCl2Gxf@q.biaY.Ce visits my courses.
[2023-02-10 02:39:53,594] shixuetiandeMacBook-Air.local/INFO/root: student L6.s7RHgF1O9jOR@N.3YMm.h1IVP visits my courses.
[2023-02-10 02:39:54,096] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:54,100] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:54,414] shixuetiandeMacBook-Air.local/INFO/root: [TASK] start one course
[2023-02-10 02:39:54,418] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:54,866] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:54,872] shixuetiandeMacBook-Air.local/INFO/root: Learner RkOvG.jURGb4.VIs5@E3.BL.Nzqk login
[2023-02-10 02:39:55,077] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi visits course USI2.
[2023-02-10 02:39:55,253] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:55,257] shixuetiandeMacBook-Air.local/INFO/root: Learner L6.s7RHgF1O9jOR@N.3YMm.h1IVP login
[2023-02-10 02:39:55,836] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:55,841] shixuetiandeMacBook-Air.local/INFO/root: Learner zTYH.KYzUX.LAmC57TCxc@T.HDI.avwP login
[2023-02-10 02:39:55,985] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:55,990] shixuetiandeMacBook-Air.local/INFO/root: Learner Nj.uwQ.1eDEqTqn@3PU.i.EliF login
[2023-02-10 02:39:56,270] shixuetiandeMacBook-Air.local/INFO/root: student Nj.uwQ.1eDEqTqn@3PU.i.EliF visits my courses.
[2023-02-10 02:39:56,658] shixuetiandeMacBook-Air.local/INFO/root: [TASK] download one attachment from one course
[2023-02-10 02:39:56,665] shixuetiandeMacBook-Air.local/INFO/root: Learner 0hMw.0Jhdww6Z.8GKvmI@tJLsc.gQgh login
[2023-02-10 02:39:56,671] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:56,675] shixuetiandeMacBook-Air.local/INFO/root: Learner Nj.uwQ.1eDEqTqn@3PU.i.EliF login
